,@context,@id,@type,dc:date,dct:valid,odpt:carComposition,odpt:delay,odpt:destinationStation,odpt:frequency,odpt:fromStation,odpt:index,odpt:operator,odpt:originStation,odpt:railDirection,odpt:railway,odpt:toStation,odpt:trainNumber,odpt:trainOwner,odpt:trainType,owl:sameAs
10,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC8CD,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:Seibu.Ikebukuro.Hoya'],30.0,odpt.Station:TokyoMetro.Fukutoshin.NishiWaseda,,odpt.Operator:TokyoMetro,['odpt.Station:Minatomirai.Minatomirai.MotomachiChukagai'],odpt.RailDirection:TokyoMetro.KotakeMukaihara,odpt.Railway:TokyoMetro.Fukutoshin,,B1405K,odpt.Operator:Tokyu,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Fukutoshin.B1405K
11,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC8CC,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Fukutoshin.Wakoshi'],30.0,odpt.Station:TokyoMetro.Fukutoshin.Zoshigaya,,odpt.Operator:TokyoMetro,['odpt.Station:Minatomirai.Minatomirai.MotomachiChukagai'],odpt.RailDirection:TokyoMetro.Wakoshi,odpt.Railway:TokyoMetro.Fukutoshin,odpt.Station:TokyoMetro.Fukutoshin.Ikebukuro,B1401K,odpt.Operator:Tokyu,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Fukutoshin.B1401K
12,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC8CB,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:Seibu.Ikebukuro.Kotesashi'],30.0,odpt.Station:TokyoMetro.Fukutoshin.Ikebukuro,,odpt.Operator:TokyoMetro,['odpt.Station:Minatomirai.Minatomirai.MotomachiChukagai'],odpt.RailDirection:TokyoMetro.KotakeMukaihara,odpt.Railway:TokyoMetro.Fukutoshin,odpt.Station:TokyoMetro.Fukutoshin.Kanamecho,B1406M,odpt.Operator:Seibu,odpt.TrainType:TokyoMetro.Express,odpt.Train:TokyoMetro.Fukutoshin.B1406M
13,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC8CA,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Fukutoshin.Wakoshi'],30.0,odpt.Station:TokyoMetro.Fukutoshin.Hikawadai,,odpt.Operator:TokyoMetro,['odpt.Station:Minatomirai.Minatomirai.MotomachiChukagai'],odpt.RailDirection:TokyoMetro.Wakoshi,odpt.Railway:TokyoMetro.Fukutoshin,,B1308S,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Fukutoshin.B1308S
14,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FCC65,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Fukutoshin.Wakoshi'],30.0,odpt.Station:TokyoMetro.Fukutoshin.ChikatetsuAkatsuka,,odpt.Operator:TokyoMetro,['odpt.Station:Minatomirai.Minatomirai.MotomachiChukagai'],odpt.RailDirection:TokyoMetro.Wakoshi,odpt.Railway:TokyoMetro.Fukutoshin,,B1354K,odpt.Operator:Tokyu,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Fukutoshin.B1354K
15,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC7FC,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],30.0,odpt.Station:TokyoMetro.Yurakucho.Wakoshi,,odpt.Operator:TokyoMetro,['odpt.Station:Tobu.Tojo.Kawagoeshi'],odpt.RailDirection:TokyoMetro.ShinKiba,odpt.Railway:TokyoMetro.Yurakucho,odpt.Station:TokyoMetro.Yurakucho.ChikatetsuNarimasu,A1435S,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.A1435S
16,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC7FA,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],30.0,odpt.Station:TokyoMetro.Yurakucho.KotakeMukaihara,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Yurakucho.Wakoshi'],odpt.RailDirection:TokyoMetro.ShinKiba,odpt.Railway:TokyoMetro.Yurakucho,,A1457S,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.A1457S
17,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC7F9,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],30.0,odpt.Station:TokyoMetro.Yurakucho.Kanamecho,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Yurakucho.Wakoshi'],odpt.RailDirection:TokyoMetro.ShinKiba,odpt.Railway:TokyoMetro.Yurakucho,odpt.Station:TokyoMetro.Yurakucho.Ikebukuro,A1412M,odpt.Operator:Seibu,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.A1412M
18,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC7F8,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],30.0,odpt.Station:TokyoMetro.Yurakucho.Gokokuji,,odpt.Operator:TokyoMetro,['odpt.Station:Seibu.Ikebukuro.Kotesashi'],odpt.RailDirection:TokyoMetro.ShinKiba,odpt.Railway:TokyoMetro.Yurakucho,,A1453S,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.A1453S
19,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC7F7,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],30.0,odpt.Station:TokyoMetro.Yurakucho.Iidabashi,,odpt.Operator:TokyoMetro,['odpt.Station:Tobu.Tojo.Kawagoeshi'],odpt.RailDirection:TokyoMetro.ShinKiba,odpt.Railway:TokyoMetro.Yurakucho,,A1405T,odpt.Operator:Tobu,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.A1405T
