,@context,@id,@type,dc:date,odpt:operator,odpt:passengerSurveyObject,odpt:railway,odpt:station,owl:sameAs
1177,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000320863A,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 138467}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 140587}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 144916}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 146400}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 148789}]","['odpt.Railway:JR-East.ChuoRapid', 'odpt.Railway:JR-East.ChuoSobuLocal']","['odpt.Station:JR-East.ChuoRapid.Nakano', 'odpt.Station:JR-East.ChuoSobuLocal.Nakano']",odpt.PassengerSurvey:JR-East.Nakano
1178,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000320863C,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 39824}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 39937}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 41168}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 41636}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 41992}]",['odpt.Railway:JR-East.Yokohama'],['odpt.Station:JR-East.Yokohama.Nakayama'],odpt.PassengerSurvey:JR-East.Nakayama
1179,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000320863D,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 195}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 184}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 186}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 185}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 175}]",['odpt.Railway:JR-East.Uchibo'],['odpt.Station:JR-East.Uchibo.Nakofunakata'],odpt.PassengerSurvey:JR-East.Nakofunakata
1180,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000320863E,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 770}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 773}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 895}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 862}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 857}]",['odpt.Railway:JR-East.Joban'],['odpt.Station:JR-East.Joban.Nakoso'],odpt.PassengerSurvey:JR-East.Nakoso
1181,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000320863F,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 13677}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 13635}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 13954}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 13949}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 14057}]",['odpt.Railway:JR-East.Nambu'],['odpt.Station:JR-East.Nambu.Kuji'],odpt.PassengerSurvey:JR-East.Nambu.Kuji
1182,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003208640,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 984}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 948}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 947}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 927}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 874}]",['odpt.Railway:JR-East.Narita'],['odpt.Station:JR-East.Narita.Namegawa'],odpt.PassengerSurvey:JR-East.Namegawa
1183,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003208771,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 18}]",['odpt.Railway:JR-East.Joban'],['odpt.Station:JR-East.Joban.Namie'],odpt.PassengerSurvey:JR-East.Namie
1184,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003208674,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 1270}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 1239}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 1286}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 1294}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 1279}]",['odpt.Railway:JR-East.Narita'],['odpt.Station:JR-East.Narita.Omigawa'],odpt.PassengerSurvey:JR-East.Narita.Omigawa
1185,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003208642,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 6586}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 6907}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 6739}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 6952}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 7240}]",['odpt.Railway:JR-East.NaritaAirportBranch'],['odpt.Station:JR-East.NaritaAirportBranch.NaritaAirportTerminal1'],odpt.PassengerSurvey:JR-East.NaritaAirportTerminal1
1186,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003208643,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 4278}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 4114}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 4732}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 4952}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 5292}]",['odpt.Railway:JR-East.NaritaAirportBranch'],['odpt.Station:JR-East.NaritaAirportBranch.NaritaAirportTerminal2and3'],odpt.PassengerSurvey:JR-East.NaritaAirportTerminal2and3
