,@type,dc:date,odpt:actualTime,odpt:aircraftModel,odpt:airline,odpt:departureAirport,odpt:destinationAirport,odpt:estimatedTime,odpt:flightNumber,odpt:flightStatus,odpt:operator,odpt:scheduledTime,odpt:terminal,owl:sameAs
72,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:JAL,odpt.Airport:TSA,odpt.Airport:HND,,"['JL0098', 'CI9222']",,odpt.Operator:HND-TIAT,18:20,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.JL0098
73,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:YVR,odpt.Airport:HND,18:04,"['NH0115', 'AC6249', 'UA7993']",,odpt.Operator:HND-TIAT,18:20,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0115
74,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:KAL,odpt.Airport:GMP,odpt.Airport:HND,,"['KE2709', 'JL5236']",,odpt.Operator:HND-TIAT,18:30,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.KE2709
75,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:CCA,odpt.Airport:NAY,odpt.Airport:HND,,"['CA0421', 'NH5762']",,odpt.Operator:HND-TIAT,18:55,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.CA0421
76,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:SIN,odpt.Airport:HND,,"['NH0842', 'SQ5908', '9W4169', 'UA7992']",,odpt.Operator:HND-TIAT,19:10,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0842
77,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:JAL,odpt.Airport:SFO,odpt.Airport:HND,,"['JL0001', 'AA8400', 'MH9101']",,odpt.Operator:HND-TIAT,19:15,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.JL0001
78,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:HAL,odpt.Airport:HNL,odpt.Airport:HND,,['HA0457'],,odpt.Operator:HND-TIAT,19:30,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.HA0457
79,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:CSN,odpt.Airport:CAN,odpt.Airport:HND,,"['CZ3085', 'MF9275', 'JL5062']",,odpt.Operator:HND-TIAT,19:45,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.CZ3085
80,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:JAL,odpt.Airport:CAN,odpt.Airport:HND,,"['JL0088', 'CZ4852', 'MU8745']",,odpt.Operator:HND-TIAT,19:45,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.JL0088
81,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:CAN,odpt.Airport:HND,,"['NH0924', 'CA6699', 'ZH3201']",,odpt.Operator:HND-TIAT,19:45,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0924
