,@type,dc:date,odpt:actualTime,odpt:aircraftModel,odpt:airline,odpt:departureAirport,odpt:destinationAirport,odpt:estimatedTime,odpt:flightNumber,odpt:flightStatus,odpt:operator,odpt:scheduledTime,odpt:terminal,owl:sameAs
20,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:SIA,odpt.Airport:SIN,odpt.Airport:HND,06:55,"['SQ0636', 'NH6258']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,06:45,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.SQ0636
21,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:CGK,odpt.Airport:HND,06:46,"['NH0856', 'GA9352']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,06:50,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0856
22,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:THA,odpt.Airport:BKK,odpt.Airport:HND,07:17,"['TG0682', 'NH5598']",odpt.FlightStatus:BaggageAvailable,odpt.Operator:HND-TIAT,06:55,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.TG0682
23,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:JAL,odpt.Airport:SGN,odpt.Airport:HND,06:58,"['JL0070', 'AA8494', 'HA5010']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,06:55,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.JL0070
24,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:BAW,odpt.Airport:LHR,odpt.Airport:HND,07:08,"['BA0007', 'JL7082']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,07:10,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.BA0007
25,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:GIA,odpt.Airport:CGK,odpt.Airport:HND,09:28,"['GA0874', 'NH5480']",,odpt.Operator:HND-TIAT,08:50,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.GA0874
26,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:JAL,odpt.Airport:SIN,odpt.Airport:HND,09:46,"['JL0038', 'AA8488', 'QF4017', 'UL3338', 'HA5009']",,odpt.Operator:HND-TIAT,09:50,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.JL0038
27,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:GMP,odpt.Airport:HND,09:43,"['NH0862', 'OZ9128']",,odpt.Operator:HND-TIAT,09:55,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0862
28,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:JAL,odpt.Airport:GMP,odpt.Airport:HND,09:46,"['JL0090', 'KE5711']",,odpt.Operator:HND-TIAT,10:10,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.JL0090
29,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:AAR,odpt.Airport:GMP,odpt.Airport:HND,,"['OZ1085', 'NH6968']",,odpt.Operator:HND-TIAT,10:45,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.OZ1085
30,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:DLH,odpt.Airport:MUC,odpt.Airport:HND,13:15,"['LH0714', 'NH5852']",,odpt.Operator:HND-TIAT,10:50,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.LH0714
31,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:KAL,odpt.Airport:GMP,odpt.Airport:HND,,"['KE2707', 'JL5234']",,odpt.Operator:HND-TIAT,11:10,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.KE2707
32,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:EVA,odpt.Airport:TSA,odpt.Airport:HND,,"['BR0192', 'NH5826']",,odpt.Operator:HND-TIAT,11:45,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.BR0192
33,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:DLH,odpt.Airport:FRA,odpt.Airport:HND,12:08,"['LH0716', 'NH5854']",,odpt.Operator:HND-TIAT,12:15,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.LH0716
34,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:PVG,odpt.Airport:HND,,"['NH0972', 'CA6697', 'HO3139']",,odpt.Operator:HND-TIAT,12:20,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0972
35,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:CCA,odpt.Airport:NAY,odpt.Airport:HND,,"['CA0181', 'NH5728']",,odpt.Operator:HND-TIAT,12:30,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.CA0181
36,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:CSH,odpt.Airport:SHA,odpt.Airport:HND,,"['FM0815', 'MU9815']",,odpt.Operator:HND-TIAT,12:30,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.FM0815
37,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:NAY,odpt.Airport:HND,,"['NH0964', 'CA6653']",,odpt.Operator:HND-TIAT,12:50,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0964
38,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:CAL,odpt.Airport:TSA,odpt.Airport:HND,,"['CI0220', 'JL5042']",,odpt.Operator:HND-TIAT,12:55,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.CI0220
39,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:JAL,odpt.Airport:NAY,odpt.Airport:HND,,"['JL0020', 'CZ4858', 'MU8737']",,odpt.Operator:HND-TIAT,13:00,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.JL0020
40,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:JAL,odpt.Airport:TSA,odpt.Airport:HND,,"['JL0096', 'CI9220']",,odpt.Operator:HND-TIAT,13:10,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.JL0096
41,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:CES,odpt.Airport:SHA,odpt.Airport:HND,,"['MU0537', 'FM0537', 'JL5642']",,odpt.Operator:HND-TIAT,13:30,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.MU0537
42,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:PAL,odpt.Airport:MNL,odpt.Airport:HND,,"['PR0422', 'NH5334']",,odpt.Operator:HND-TIAT,13:40,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.PR0422
43,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:DAL,odpt.Airport:MSP,odpt.Airport:HND,,"['DL0121', 'VN3027']",,odpt.Operator:HND-TIAT,13:45,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.DL0121
44,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:CPA,odpt.Airport:HHP,odpt.Airport:HND,,"['CX0548', 'JL7030']",,odpt.Operator:HND-TIAT,13:55,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.CX0548
45,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:UAL,odpt.Airport:SFO,odpt.Airport:HND,13:38,"['UA0875', 'NH7011']",,odpt.Operator:HND-TIAT,13:55,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.UA0875
46,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:JAL,odpt.Airport:GMP,odpt.Airport:HND,,"['JL0092', 'KE5707']",,odpt.Operator:HND-TIAT,14:15,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.JL0092
47,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:CSN,odpt.Airport:CAN,odpt.Airport:HND,,"['CZ0385', 'MF9247', 'JL5064']",,odpt.Operator:HND-TIAT,14:20,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.CZ0385
48,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:AAL,odpt.Airport:LAX,odpt.Airport:HND,,"['AA0027', 'JL7017']",,odpt.Operator:HND-TIAT,14:25,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.AA0027
49,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:DAL,odpt.Airport:LAX,odpt.Airport:HND,,"['DL0007', 'GA9507', 'VN3029']",,odpt.Operator:HND-TIAT,14:35,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.DL0007
50,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:LHR,odpt.Airport:HND,14:00,['NH0212'],,odpt.Operator:HND-TIAT,14:40,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0212
51,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:CDG,odpt.Airport:HND,14:33,['NH0216'],,odpt.Operator:HND-TIAT,14:45,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0216
52,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:FRA,odpt.Airport:HND,14:46,"['NH0224', 'LH4912']",,odpt.Operator:HND-TIAT,14:55,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0224
